  | 文件 | start_comm_count | end_comm_count | 包数 | 说明 |
  |---|---:|---:|---:|---|
  | 0000705-FIP-200K-20260323T141944.379.npz | 213550 | 213849 | 300 | 正常 |
  | 0000706-FIP-200K-20260323T142044.379.npz | 213850 | 214149 | 300 | 正常 |
  | 0000707-FIP-200K-20260323T142144.379.npz | 214150 | 214449 | 300 | 正常 |
  | 0000708-FIP-200K-20260323T142244.379.npz | 214450 | 214749 | 300 | 正常 |
  | 0000709-FIP-200K-20260323T142344.379.npz | 214750 | 215049 | 300 | 正常 |
  | 0000710-FIP-200K-20260323T142444.379.npz | 215050 | 215349 | 300 | 正常 |
  | 0000711-FIP-200K-20260323T142544.379.npz | 215350 | 215649 | 300 | 正常 |
  | 0000712-FIP-200K-20260323T142644.379.npz | 215650 | 215949 | 300 | 正常 |
  | 0000713-FIP-200K-20260323T142744.379.npz | 215950 | 216249 | 300 | 正常 |
  | 0000714-FIP-200K-20260323T142844.379.npz | 216250 | 216549 | 300 | 正常 |
  | 0000715-FIP-200K-20260323T142944.379.npz | 216550 | 216950 | 401 | 异常增大 |
  | 0000716-FIP-200K-20260323T143044.379.npz | 216952 | 217330 | 379 | 异常，且缺 1 包 |
  | 0000717-FIP-200K-20260323T143144.379.npz | 217331 | 217630 | 300 | 恢复正常 |
  | 0000718-FIP-200K-20260323T143244.379.npz | 217631 | 217930 | 300 | 正常 |
  | 0000719-FIP-200K-20260323T143344.379.npz | 217931 | 218230 | 300 | 正常 |
  | 0000720-FIP-200K-20260323T143444.379.npz | 218231 | 218530 | 300 | 正常 |
  | 0000721-FIP-200K-20260323T143544.379.npz | 218531 | 218831 | 301 | 异常增大 1 包 |
  | 0000722-FIP-200K-20260323T143644.379.npz | 218832 | 219131 | 300 | 正常 |
  | 0000723-FIP-200K-20260323T143744.379.npz | 219132 | 219431 | 300 | 正常 |
  | 0000724-FIP-200K-20260323T143844.379.npz | 219432 | 219731 | 300 | 正常 |
  | 0000725-FIP-200K-20260323T143944.379.npz | 219732 | 220031 | 300 | 正常 |
  | 0000726-FIP-200K-20260323T144044.379.npz | 220032 | 220331 | 300 | 正常 |
  | 0000727-FIP-200K-20260323T144144.379.npz | 220332 | 220631 | 300 | 正常 |
  | 0000728-FIP-200K-20260323T144244.379.npz | 220632 | 220931 | 300 | 正常 |
  | 0000729-FIP-200K-20260323T144344.379.npz | 220932 | 221231 | 300 | 正常 |
  | 0000730-FIP-200K-20260323T144444.379.npz | 221232 | 221531 | 300 | 正常 |
  | 0000731-FIP-200K-20260323T144544.379.npz | 221532 | 221831 | 300 | 正常 |
  | 0000732-FIP-200K-20260323T144644.379.npz | 221832 | 222131 | 300 | 正常 |
  | 0000733-FIP-200K-20260323T144744.379.npz | 222132 | 222431 | 300 | 正常 |
  | 0000734-FIP-200K-20260323T144844.379.npz | 222432 | 222731 | 300 | 正常 |
  | 0000735-FIP-200K-20260323T144944.379.npz | 222732 | 223031 | 300 | 正常 |
  | 0000736-FIP-200K-20260323T145044.379.npz | 223032 | 223331 | 300 | 正常 |
  | 0000737-FIP-200K-20260323T145144.379.npz | 223332 | 223631 | 300 | 正常 |
  | 0000738-FIP-200K-20260323T145244.379.npz | 223632 | 223931 | 300 | 正常 |
  | 0000739-FIP-200K-20260323T145344.379.npz | 223932 | 224231 | 300 | 正常 |
  | 0000740-FIP-200K-20260323T145444.379.npz | 224232 | 224531 | 300 | 正常 |
  | 0000741-FIP-200K-20260323T145544.379.npz | 224532 | 224831 | 300 | 正常 |
  | 0000742-FIP-200K-20260323T145644.379.npz | 224832 | 225131 | 300 | 正常 |
  | 0000743-FIP-200K-20260323T145744.379.npz | 225132 | 225431 | 300 | 正常 |
  | 0000744-FIP-200K-20260323T145844.379.npz | 225432 | 225731 | 300 | 正常 |
  | 0000745-FIP-200K-20260323T145944.379.npz | 225732 | 226031 | 300 | 正常 |
  | 0000746-FIP-200K-20260323T150044.379.npz | 226032 | 226133 | 102 | 尾包，不满 60s |


 | 文件 | start_comm_count | end_comm_count | 包数 | 与上一文件相邻关系 |
  |---|---:|---:|---:|---|
  | 0000001-FIP-200K-20260323T151136.838.npz | 0 | 299 | 300 | 起始文件 |
  | 0000002-FIP-200K-20260323T151236.838.npz | 300 | 599 | 300 | 连续 |
  | 0000003-FIP-200K-20260323T151336.838.npz | 600 | 920 | 321 | 连续 |
  | 0000004-FIP-200K-20260323T151436.838.npz | 921 | 1220 | 300 | 连续 |
  | 0000005-FIP-200K-20260323T151536.838.npz | 1221 | 1520 | 300 | 连续 |
  | 0000006-FIP-200K-20260323T151636.838.npz | 1521 | 1820 | 300 | 连续 |
  | 0000007-FIP-200K-20260323T151736.838.npz | 1821 | 2120 | 300 | 连续 |
  | 0000008-FIP-200K-20260323T151836.838.npz | 2121 | 2420 | 300 | 连续 |
  | 0000009-FIP-200K-20260323T151936.838.npz | 2421 | 2720 | 300 | 连续 |
  | 0000010-FIP-200K-20260323T152036.838.npz | 2721 | 3020 | 300 | 连续 |
  | 0000011-FIP-200K-20260323T152136.838.npz | 3021 | 3320 | 300 | 连续 |
  | 0000012-FIP-200K-20260323T152236.838.npz | 3321 | 3620 | 300 | 连续 |
  | 0000013-FIP-200K-20260323T152336.838.npz | 3621 | 3920 | 300 | 连续 |
  | 0000014-FIP-200K-20260323T152436.838.npz | 3921 | 4220 | 300 | 连续 |
  | 0000015-FIP-200K-20260323T152536.838.npz | 4221 | 4520 | 300 | 连续 |
  | 0000016-FIP-200K-20260323T152636.838.npz | 4521 | 4820 | 300 | 连续 |
  | 0000017-FIP-200K-20260323T152736.838.npz | 4821 | 5120 | 300 | 连续 |
  | 0000018-FIP-200K-20260323T152836.838.npz | 5121 | 5420 | 300 | 连续 |
  | 0000019-FIP-200K-20260323T152936.838.npz | 5421 | 5720 | 300 | 连续 |
  | 0000020-FIP-200K-20260323T153036.838.npz | 5721 | 6020 | 300 | 连续 |
  | 0000021-FIP-200K-20260323T153136.838.npz | 6021 | 6320 | 300 | 连续 |
  | 0000022-FIP-200K-20260323T153236.838.npz | 6321 | 6620 | 300 | 连续 |
  | 0000023-FIP-200K-20260323T153336.838.npz | 6621 | 6920 | 300 | 连续 |
  | 0000024-FIP-200K-20260323T153436.838.npz | 6921 | 7220 | 300 | 连续 |
  | 0000025-FIP-200K-20260323T153536.838.npz | 7221 | 7520 | 300 | 连续 |
  | 0000026-FIP-200K-20260323T153636.838.npz | 7521 | 7820 | 300 | 连续 |
  | 0000027-FIP-200K-20260323T153736.838.npz | 7821 | 8120 | 300 | 连续 |
  | 0000030-FIP-200K-20260323T154036.838.npz | 8721 | 9020 | 300 | 连续 |
  | 0000031-FIP-200K-20260323T154136.838.npz | 9021 | 9320 | 300 | 连续 |
  | 0000032-FIP-200K-20260323T154236.838.npz | 9321 | 9620 | 300 | 连续 |
  | 0000033-FIP-200K-20260323T154336.838.npz | 9621 | 9920 | 300 | 连续 |
  | 0000034-FIP-200K-20260323T154436.838.npz | 9921 | 10220 | 300 | 连续 |
  | 0000035-FIP-200K-20260323T154536.838.npz | 10221 | 10520 | 300 | 连续 |
  | 0000036-FIP-200K-20260323T154636.838.npz | 10521 | 10820 | 300 | 连续 |
  | 0000037-FIP-200K-20260323T154736.838.npz | 10821 | 11120 | 300 | 连续 |
  | 0000038-FIP-200K-20260323T154836.838.npz | 11121 | 11420 | 300 | 连续 |
